"ogc_fid(ogc_fid)","occurrence(occurrence)","scientific(scientific)","scientif_1(scientif_1)","vernacular(vernacular)","kingdom(kingdom)","phylum(phylum)","class(class)","order(order)","family(family)","genus(genus)","specificep(specificep)","infraspeci(infraspeci)","country(country)","countrycod(countrycod)","stateprovi(stateprovi)","verbatimlo(verbatimlo)","decimallat(decimallat)","decimallon(decimallon)","georeferen(georeferen)","eventdate(eventdate)","year(year)","month(month)","day(day)","basisofrec(basisofrec)","institutio(institutio)","collection(collection)","catalognum(catalognum)","recordedby(recordedby)","recordnumb(recordnumb)","identified(identified)","dynamicpro(dynamicpro)","associated(associated)","modified_by(modified_by)","last_modification(last_modification)","featureid"
"1","1","Acacia longifolia","(Andrews) Willd.","Acacia","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Leguminosae","Acacia","longifolia","NA","Uruguay","Uy","Maldonado","NA","-34.832","-55.0385","InvForest","NA","NA","NA","NA","NA","NA","NA","NA","InvForest","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","acacia_longifolia.1"
"2","2","Acacia longifolia","(Andrews) Willd.","Acacia","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Leguminosae","Acacia","longifolia","NA","Uruguay","Uy","Maldonado","NA","-34.798","-55.2616","InvForest","NA","NA","NA","NA","NA","NA","NA","NA","InvForest","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","acacia_longifolia.2"
"3","3","Acacia longifolia","(Andrews) Willd.","Acacia","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Leguminosae","Acacia","longifolia","NA","Uruguay","Uy","Maldonado","NA","-34.8154","-55.2628","InvForest","NA","NA","NA","NA","NA","NA","NA","NA","InvForest","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","acacia_longifolia.3"
"4","4","Acacia longifolia","(Andrews) Willd.","Acacia","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Leguminosae","Acacia","longifolia","NA","Uruguay","Uy","Rocha","NA","-34.0631","-53.579","InvForest","NA","NA","NA","NA","NA","NA","NA","NA","InvForest","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","acacia_longifolia.4"
"5","5","Acacia longifolia","(Andrews) Willd.","Acacia","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Leguminosae","Acacia","longifolia","NA","Uruguay","Uy","Maldonado","NA","-34.8666","-55.2403","InvForest","NA","NA","NA","NA","NA","NA","NA","NA","InvForest","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","acacia_longifolia.5"
"6","6","Acacia longifolia","(Andrews) Willd.","Acacia","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Leguminosae","Acacia","longifolia","NA","Uruguay","Uy","Rocha","NA","-34.0633","-53.5999","InvForest","NA","NA","NA","NA","NA","NA","NA","NA","InvForest","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","acacia_longifolia.6"
"7","7","Acacia longifolia","(Andrews) Willd.","Acacia","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Leguminosae","Acacia","longifolia","NA","Uruguay","Uy","Rocha","NA","-34.2855","-53.8027","InvForest","NA","NA","NA","NA","NA","NA","NA","NA","InvForest","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","acacia_longifolia.7"
"8","8","Acacia longifolia","(Andrews) Willd.","Acacia","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Leguminosae","Acacia","longifolia","NA","Uruguay","Uy","Rocha","NA","-34.2683","-53.7822","InvForest","NA","NA","NA","NA","NA","NA","NA","NA","InvForest","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","acacia_longifolia.8"
"9","9","Acacia longifolia","(Andrews) Willd.","Acacia","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Leguminosae","Acacia","longifolia","NA","Uruguay","Uy","Rocha","NA","-34.5248","-54.0458","InvForest","NA","NA","NA","NA","NA","NA","NA","NA","InvForest","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","acacia_longifolia.9"
"10","10","Acacia longifolia","(Andrews) Willd.","Acacia","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Leguminosae","Acacia","longifolia","NA","Uruguay","Uy","Rocha","NA","-33.9607","-53.5391","InvForest","NA","NA","NA","NA","NA","NA","NA","NA","InvForest","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","acacia_longifolia.10"
"11","11","Acacia longifolia","(Andrews) Willd.","Acacia","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Leguminosae","Acacia","longifolia","NA","Uruguay","Uy","Canelones","NA","-34.7815","-55.4225","InvForest","NA","NA","NA","NA","NA","NA","NA","NA","InvForest","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","acacia_longifolia.11"
"12","12","Acacia longifolia","(Andrews) Willd.","Acacia","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Leguminosae","Acacia","longifolia","NA","Uruguay","Uy","Rocha","NA","-34.0805","-53.5795","InvForest","NA","NA","NA","NA","NA","NA","NA","NA","InvForest","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","acacia_longifolia.12"
"13","13","Acacia longifolia","(Andrews) Willd.","Acacia","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Leguminosae","Acacia","longifolia","NA","Uruguay","Uy","Rocha","NA","-33.995","-53.5391","InvForest","NA","NA","NA","NA","NA","NA","NA","NA","InvForest","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","acacia_longifolia.13"
"14","14","Acacia longifolia","(Andrews) Willd.","Acacia","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Leguminosae","Acacia","longifolia","NA","Uruguay","Uy","Rocha","NA","-34.0804","-53.5998","InvForest","NA","NA","NA","NA","NA","NA","NA","NA","InvForest","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","acacia_longifolia.14"
"15","15","Acacia longifolia","(Andrews) Willd.","Acacia","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Leguminosae","Acacia","longifolia","NA","Uruguay","Uy","Rocha","NA","-34.0633","-53.5594","InvForest","NA","NA","NA","NA","NA","NA","NA","NA","InvForest","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","acacia_longifolia.15"