"ogc_fid(ogc_fid)","especie(especie)","latitud(latitud)","longitud(longitud)","localidad(localidad)","fecha(fecha)","origen(origen)","field_7(field_7)","modified_by(modified_by)","last_modification(last_modification)","featureid"
"1","Pittosporum undulatum","-34.83861","-56.07444","Portones_Carrasco","2001","Australia","Inbuy","","","pittosporum_undulatum.1"
"2","Pittosporum undulatum","-34.91417","-55.04472","Punta Ballena","1966","Australia","Inbuy","","","pittosporum_undulatum.2"
"3","Pittosporum undulatum","-34.85917","-56.20028","Jardin Botanico","1926","Australia","Inbuy","","","pittosporum_undulatum.3"
"4","Pittosporum undulatum","-34.79641","-55.52969","Araminda","2009","Australia","Inbuy","","","pittosporum_undulatum.4"
"5","Pittosporum undulatum","-34.79641","-55.52969","Araminda","2009","Australia","Inbuy","","","pittosporum_undulatum.5"
"6","Pittosporum undulatum","-34.66028","-56.34389","Las Brujas","2009","Australia","Inbuy","","","pittosporum_undulatum.6"
"7","Pittosporum undulatum","-34.57556","-54.8575","Puntas Las Flores_S las Animas","1971","Australia","Inbuy","","","pittosporum_undulatum.7"
"8","Pittosporum undulatum","-34.57556","-54.8575","Sierra de las Animas","1967","Australia","Inbuy","","","pittosporum_undulatum.8"
"9","Pittosporum undulatum","-34.88429","-55.03566","Parque Lussich","1956","Australia","Inbuy","","","pittosporum_undulatum.9"
"10","Pittosporum undulatum","-34.88429","-55.03566","Parque Lussich","1944","Australia","Inbuy","","","pittosporum_undulatum.10"
"11","Pittosporum undulatum","-34.48778","-54.32","Quinta Siberia","1905","Australia","Inbuy","","","pittosporum_undulatum.11"
"12","Pittosporum undulatum","-34.05944","-53.85444","Quinta Gallinal","1942","Australia","Inbuy","","","pittosporum_undulatum.12"
"13","Pittosporum undulatum","-34.8575","-56.20889","Facultad de Agronomia","1935","Australia","Inbuy","","","pittosporum_undulatum.13"
"14","Pittosporum undulatum","-34.8575","-56.20889","Facultad de Agronomia","1941","Australia","Inbuy","","","pittosporum_undulatum.14"
"15","Pittosporum undulatum","-33.95827","-53.53391","Santa Teresa","2008","Australia","Inbuy","","","pittosporum_undulatum.15"
"16","Pittosporum undulatum","-33.97788","-53.55941","Rocha","2014","Australia","Forestal","","","pittosporum_undulatum.16"
"17","Pittosporum undulatum","-34.8474","-55.09951","Maldonado","2015","Australia","Forestal","","","pittosporum_undulatum.17"