"ogc_fid(ogc_fid)","nombre_cie(nombre_cie)","latitud(latitud)","longitud(longitud)","localidad(localidad)","fecha_regi(fecha_regi)","origen_geo(origen_geo)","field_7(field_7)","modified_by(modified_by)","last_modification(last_modification)","featureid"
"1","Populus alba","-34.8139","-55.3294","Las Flores","0","Eruropa y Asia","Inbuy","","","populus_alba.1"
"2","Populus alba","-34.8903","-56.1597","Montevideo","1932","Eruropa y Asia","Inbuy","","","populus_alba.2"
"3","Populus alba","-34.8903","-56.1597","Montevideo","0","Eruropa y Asia","Inbuy","","","populus_alba.3"
"4","Populus alba","-34.8386","-56.0744","Carrasco","2004","Eruropa y Asia","Inbuy","","","populus_alba.4"
"5","Populus alba","-34.8386","-56.0744","Carrasco","2003","Eruropa y Asia","Inbuy","","","populus_alba.5"
"6","Populus alba","-34.2213","-57.8829","RÃ­o San Juan. Ruta 21. km 204","2005","Eruropa y Asia","Inbuy","","","populus_alba.6"
"7","Populus alba","-34.6603","-56.3439","Las Brujas","2009","Eruropa y Asia","Inbuy","","","populus_alba.7"
"8","Populus alba","-34.5583","-55.02","Maldonado","2015","Eruropa y Asia","Iturburu","","","populus_alba.8"
"9","Populus alba","-34.508","-56.9246","San Jose","2015","Eruropa y Asia","Iturburu","","","populus_alba.9"
"10","Populus alba","-34.6448","-56.6792","San Jose","2015","Eruropa y Asia","Iturburu","","","populus_alba.10"